SampleID,Location,SampleType,Plate,Well,Date,Month,mL_Filtered,pMR,plant_reads,plant_QuantIT,plant_uL_pooled,plant_ng_added,plant_norm_reads,aMR,animal_reads,animal_QuantIT,animal_uL_pooled,animal_ng_added,animal_norm_read,xMR,Coast_City,City_Town,Coast_Inland,County,long,lat,DistancetoCoast,Capacity_mgd,PopulationServedK,Per_capita_income_k,Population_density,White_percent,Black_AA_percent,AmericanIndianAlaska_percent,Asian_percent,Hawaiian_PacificIslander_percent,Mixed_percent,HispanicLatino_percent,White_nonHispanic_percent,Foreign_born_percent,High_school_percent,Bachelor_percent,Poverty_percent,CountyBrewery,CityBrewery,HealthInsured_19less,HealthInsured_18_64,FoodInsecure_rate,ChildFoodInsecure,CostPerMeal,InsuredPercent_under19yr,InsuredPercent_18_64,FoodInsecure_percent,LimitedHealthyFoodsAccess_percent,RuralArea_percent,Obesity_20yr_percent,AdultObesity_percent,FoodEnvironmentIndex,ExcessiveDrinking_percent,DrunkDrivingDeaths_percent,Lowbirthweight_percent,Diabetes_20yr_percent,NewDiabetes_perk_20yr
NCWW022621_11,Charlotte 2,WasteWater,NCWW022621,C02,11/30/2020,11,20,52,19422,0.498,15,7.47,97110,18,45382,0.325,15,4.88,680033,70,Inland_City,City,Inland,mecklenburg,-80.85082,35.15177,200,28,182.501,43.08,2067.052728,0.447,0.352,0.004,0.065,0,0.059,0.149,0.402,0.173,0.897,0.457,0.116,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_19,Charlotte 3,WasteWater,NCWW022621,C03,11/23/2020,11,20,52,11795,4.813,2.493247455,12,354808,6,30727,0.148,15,2.22,460905,58,Inland_City,City,Inland,mecklenburg,-80.7036,35.33996,200,12,120,39.313,2067.052728,0.64,0.168,0,0.108,0,0.068,0.09,0.59,0.113,0.961,0.515,0.028,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_27,Charlotte 1,WasteWater,NCWW022621,C04,11/11/2020,11,20,50,30784,2.244,5.347593583,12,431746,4,57757,1.196,10.03,12,1295201,54,Inland_City,City,Inland,mecklenburg,-80.94343,35.38233,200,12,68.685,48.72,2067.052728,0.761,0.124,0.001,0.042,0,0.052,0.072,0.724,0.094,0.966,0.555,0.042,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_43,Charlotte 4,WasteWater,NCWW022621,C06,11/13/2020,11,20,32,17035,2.908,4.126547455,12,309611,4,33365,1.982,6.05,12,1239927,36,Inland_City,City,Inland,mecklenburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCWW022621_51,Charlotte 4,WasteWater,NCWW022621,C07,9/9/2020,9,20,46,25837,6.698,1.791579576,12,1081601,7,62334,0.173,15,2.6,933212,53,Inland_City,City,Inland,mecklenburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCWW022621_59,Charlotte 4,WasteWater,NCWW022621,C08,9/23/2020,9,20,48,9384,1.716,6.993006993,12,100643,7,50489,1.094,10.97,12,1035656,55,Inland_City,City,Inland,mecklenburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCWW022621_67,Charlotte 4,WasteWater,NCWW022621,C09,10/28/2020,10,20,56,23049,2.895,4.14507772,12,417043,0,6,1.05,11.43,12,118,56,Inland_City,City,Inland,mecklenburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCWW022621_75,Charlotte 3,WasteWater,NCWW022621,C10,10/21/2020,10,20,52,13032,6.45,1.860465116,12,525353,11,50527,0.187,15,2.81,756556,63,Inland_City,City,Inland,mecklenburg,-80.7036,35.33996,200,12,120,39.313,2067.052728,0.64,0.168,0,0.108,0,0.068,0.09,0.59,0.113,0.961,0.515,0.028,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_83,Charlotte 1,WasteWater,NCWW022621,C11,11/2/2020,11,20,58,22464,1.573,7.628734901,12,220849,13,35624,0.543,15,8.15,534032,71,Inland_City,City,Inland,mecklenburg,-80.94343,35.38233,200,12,68.685,48.72,2067.052728,0.761,0.124,0.001,0.042,0,0.052,0.072,0.724,0.094,0.966,0.555,0.042,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_12,Charlotte 1,WasteWater,NCWW022621,D02,11/30/2020,11,20,51,26428,1.003,11.96410768,12,165671,8,65849,0.488,15,7.32,987735,59,Inland_City,City,Inland,mecklenburg,-80.94343,35.38233,200,12,68.685,48.72,2067.052728,0.761,0.124,0.001,0.042,0,0.052,0.072,0.724,0.094,0.966,0.555,0.042,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_20,Charlotte 2,WasteWater,NCWW022621,D03,11/18/2020,11,20,58,20259,4.22,2.843601896,12,534331,8,41693,0.377,15,5.66,624843,66,Inland_City,City,Inland,mecklenburg,-80.85082,35.15177,200,28,182.501,43.08,2067.052728,0.447,0.352,0.004,0.065,0,0.059,0.149,0.402,0.173,0.897,0.457,0.116,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_28,Charlotte 3,WasteWater,NCWW022621,D04,11/11/2020,11,20,51,36891,1.975,6.075949367,12,455373,6,43652,0.082,15,1.23,654780,57,Inland_City,City,Inland,mecklenburg,-80.7036,35.33996,200,12,120,39.313,2067.052728,0.64,0.168,0,0.108,0,0.068,0.09,0.59,0.113,0.961,0.515,0.028,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
NCWW022621_44,Charlotte 4,WasteWater,NCWW022621,D06,9/16/2020,9,20,58,20594,4.424,2.712477396,12,569424,9,50424,0.443,15,6.65,755791,67,Inland_City,City,Inland,mecklenburg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCWW022621_52,Charlotte 1,WasteWater,NCWW022621,D07,9/15/2020,9,20,63,17433,8.745,1.372212693,12,952822,14,78914,0.772,15,11.58,1183710,77,Inland_City,City,Inland,mecklenburg,-80.94343,35.38233,200,12,68.685,48.72,2067.052728,0.761,0.124,0.001,0.042,0,0.052,0.072,0.724,0.094,0.966,0.555,0.042,40,33,95.3,85.1,9.1,13.7,4.19,95.3,85.1,12,5.44594115,1.065430805,30.4,28.9,8,18.09498059,34.07258065,9.435019364,9.8,7.5
