Plant,label,WW_1,WW_2,WW_mean,Stool_1,Stool_2,Stool_3,Stool_4,Stool_5,Stool_6,Stool_7,Stool_8,Stool_9,Stool_10,Stool_11,Stool_12,Stool_13,Stool_14,Stool_mean
Fig,Fig,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Wild rice,Wild rice,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Brassica oleracea,Brassica oleracea,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Orka,Orka,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Oak,Oak,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Macadamia Nut,Macadamia Nut,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
"Mexican Pepperleaf, Kava","Mexican Pepperleaf, Kava",-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Brassica oleracea,Brassica oleracea,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Psyllium,Psyllium,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Yulan magnolia,Yulan magnolia,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Water lily,Water lily,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Guava,Guava,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Papaya,Papaya,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
"Argus Pheasant-Tree, hog plum, ambarella",,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
Pear,,-1.849515476,-1.717674231,-1.783594854,-0.653947655,-0.489563071,-0.552836892,-0.396160663,-0.37470678,-0.38506152,-0.276748407,-0.280279495,-0.344646946,-0.272687635,-0.240816905,-0.259477309,-0.232755763,-0.2694996,-0.35922776
